Record_ID,Timestamp,Building,Floor,Zone,Connected_Users,Bandwidth_Usage_MB,Download_Speed_Mbps,Upload_Speed_Mbps,Latency_ms,Packet_Loss_Percent,Signal_Strength_dBm,Weather,Event_Occurring,Congestion_Status,Traffic_Level,Network_Health
42,2025-03-24 12:34:00,AI_BLOCK,FLOOR2,GenAI Lab,204,1280.0,37.8,24.0,140.6,4.65,-75.0,Sunny,Thiran,High,Heavy,Poor
43,2025-09-06 05:09:00,MECH_BLOCK,FLOOR2,Library,47,607.71,124.15,63.25,38.55,1.87,-76.0,Rainy,No_Event,Low,Light,Excellent
44,2025-05-12 12:47:00,MAIN_BLOCK,FLOOR1,Auditorium,183,2293.87,49.35,29.25,126.95,6.11,-39.0,Cloudy,No_Event,High,Heavy,Poor
45,2025-06-04 18:26:00,MARIO,GROUND,Snack Corner,102,1009.97,93.9,49.5,74.3,4.03,-55.0,Sunny,Culturals,Medium,Moderate,Good
46,2025-01-06 18:28:00,AI_BLOCK,FLOOR3,Cyber Lab,48,585.43,123.6,63.0,39.2,1.58,-80.0,Cloudy,Freshwarite,Low,Light,Excellent
47,2025-01-14 22:16:00,HOSTEL_GIRLS,GROUND,Hostel,155,1650.79,64.75,36.25,108.75,4.91,-76.0,Sunny,No_Event,Medium,Moderate,Poor
48,2025-06-25 12:44:00,AI_BLOCK,FLOOR2,GenAI Lab,190,1748.71,45.5,27.5,131.5,5.82,-52.0,Rainy,No_Event,High,Heavy,Poor
49,2025-01-07 13:15:00,MECH_BLOCK,FLOOR1,Classroom,182,1379.19,49.9,29.5,126.3,4.17,-55.0,Sunny,No_Event,High,Heavy,Poor
50,2025-09-05 20:22:00,AI_BLOCK,FLOOR1,Classroom,62,398.82,115.9,59.5,48.3,3.64,-45.0,Sunny,No_Event,Low,Light,Excellent
51,2025-09-16 14:10:00,HOSTEL_BOYS,GROUND,Hostel,108,1312.81,90.6,48.0,78.2,3.89,-65.0,Cloudy,No_Event,Medium,Moderate,Good
52,2025-02-04 02:35:00,MAIN_BLOCK,GROUND,Chemistry Lab,63,761.95,115.35,59.25,48.95,2.91,-48.0,Rainy,No_Event,Low,Light,Excellent
53,2025-09-05 01:14:00,BUS_AREA,GROUND,Bus Bay,104,1523.67,92.8,49.0,75.6,4.39,-37.0,Sunny,No_Event,Medium,Moderate,Good
54,2025-03-17 15:40:00,AMENITY,GROUND,Music Room,74,668.15,109.3,56.5,56.1,3.29,-52.0,Rainy,No_Event,Low,Light,Excellent
55,2025-08-23 08:57:00,AI_BLOCK,FLOOR3,Cyber Lab,46,324.92,124.7,63.5,37.9,2.81,-36.0,Cloudy,No_Event,Low,Light,Excellent
56,2025-04-02 07:24:00,MECH_BLOCK,GROUND,FABLAB,75,569.77,108.75,56.25,56.75,3.5,-46.0,Sunny,No_Event,Low,Light,Excellent
57,2025-02-19 01:20:00,AI_BLOCK,GROUND,Robospace,62,891.36,115.9,59.5,48.3,3.46,-68.0,Rainy,Culturals,Low,Light,Excellent
58,2025-10-15 21:28:00,AI_BLOCK,FLOOR2,Synapse Studio,101,1057.37,94.45,49.75,73.65,3.3,-68.0,Cloudy,No_Event,Medium,Moderate,Good
59,2025-05-04 20:32:00,AI_BLOCK,GROUND,AI Lab,58,395.65,118.1,60.5,45.7,2.3,-67.0,Sunny,FlashMob,Low,Light,Excellent
60,2025-10-23 12:03:00,HOSTEL_BOYS,GROUND,Hostel,108,933.0,90.6,48.0,78.2,3.32,-60.0,Rainy,No_Event,Medium,Moderate,Good
61,2025-05-18 08:15:00,AI_BLOCK,FLOOR2,Synapse Studio,233,3441.0,21.85,16.75,159.45,7.15,-76.0,Sunny,Freshwarite,High,Heavy,Poor
62,2025-02-21 17:00:00,AI_BLOCK,FLOOR2,Synapse Studio,115,1402.11,86.75,46.25,82.75,4.47,-64.0,Rainy,No_Event,Medium,Moderate,Good
63,2025-07-17 02:21:00,MAIN_BLOCK,FLOOR2,IT Project Lab,81,775.16,105.45,54.75,60.65,3.9,-79.0,Sunny,Culturals,Low,Light,Good
64,2025-12-27 15:32:00,MAIN_BLOCK,FLOOR1,Classroom,124,1707.26,81.8,44.0,88.6,4.74,-64.0,Cloudy,No_Event,Medium,Moderate,Good
65,2025-10-01 23:40:00,MAIN_BLOCK,FLOOR2,IT Project Lab,100,940.19,95.0,50.0,73.0,3.91,-71.0,Cloudy,No_Event,Medium,Moderate,Good
66,2025-12-05 12:22:00,AI_BLOCK,FLOOR3,Cyber Lab,146,1408.44,69.7,38.5,102.9,4.56,-61.0,Cloudy,No_Event,Medium,Moderate,Poor
67,2025-11-10 04:55:00,AMENITY,GROUND,Food Court,178,2159.03,52.1,30.5,123.7,4.54,-56.0,Sunny,FlashMob,Medium,Moderate,Poor
68,2025-06-18 14:44:00,BUS_AREA,GROUND,Bus Bay,119,1279.17,84.55,45.25,85.35,4.87,-44.0,Cloudy,No_Event,Medium,Moderate,Good
69,2025-07-11 15:47:00,AI_BLOCK,GROUND,AI Lab,156,1240.4,64.2,36.0,109.4,4.21,-80.0,Sunny,No_Event,Medium,Moderate,Poor
70,2025-04-15 06:39:00,MAIN_BLOCK,GROUND,Classroom,114,972.27,87.3,46.5,82.1,4.68,-73.0,Rainy,FlashMob,Medium,Moderate,Good
71,2025-07-18 16:23:00,MECH_BLOCK,GROUND,CAD Lab,130,1234.27,78.5,42.5,92.5,3.56,-53.0,Sunny,Culturals,Medium,Moderate,Good
72,2025-03-30 04:56:00,AMENITY,GROUND,Food Court,346,2947.18,8.0,5.0,232.9,8.24,-68.0,Rainy,Thiran,High,Heavy,Poor
73,2025-02-27 12:44:00,AMENITY,GROUND,Food Court,206,2008.45,36.7,23.5,141.9,5.78,-56.0,Sunny,No_Event,High,Heavy,Poor
74,2025-11-28 22:47:00,MAIN_BLOCK,GROUND,Chemistry Lab,44,274.44,125.8,64.0,36.6,2.13,-80.0,Cloudy,No_Event,Low,Light,Excellent
75,2025-03-20 08:16:00,AI_BLOCK,GROUND,Robospace,65,612.82,95.55,58.75,50.25,3.74,-54.0,Rainy,No_Event,Low,Light,Excellent
76,2025-04-16 04:16:00,MECH_BLOCK,GROUND,Lab,40,244.92,128.0,65.0,34.0,1.45,-53.0,Cloudy,FlashMob,Low,Light,Excellent
77,2025-06-13 10:45:00,MECH_BLOCK,FLOOR3,Lab,164,2378.47,59.8,34.0,114.6,5.48,-64.0,Rainy,No_Event,Medium,Moderate,Poor
78,2025-11-09 05:33:00,AI_BLOCK,FLOOR1,Classroom,90,762.53,100.5,52.5,66.5,2.71,-80.0,Sunny,No_Event,Low,Light,Good
79,2025-03-06 00:33:00,HOSTEL_GIRLS,GROUND,Hostel,78,939.44,107.1,55.5,58.7,3.1,-78.0,Rainy,Culturals,Low,Light,Excellent
80,2025-03-29 10:37:00,MECH_BLOCK,GROUND,CAD Lab,152,1487.29,66.4,37.0,106.8,5.11,-67.0,Cloudy,FlashMob,Medium,Moderate,Poor
81,2025-12-04 02:50:00,MAIN_BLOCK,GROUND,Chemistry Lab,77,889.76,107.65,55.75,58.05,4.0,-47.0,Rainy,Freshwarite,Low,Light,Excellent
82,2025-11-13 01:02:00,AI_BLOCK,GROUND,Robospace,77,774.48,95.55,55.75,58.05,3.86,-51.0,Cloudy,No_Event,Low,Light,Excellent
83,2025-06-22 04:20:00,MECH_BLOCK,FLOOR3,Lab,49,702.63,123.05,62.75,39.85,2.46,-61.0,Sunny,No_Event,Low,Light,Excellent
84,2025-06-05 09:37:00,AI_BLOCK,FLOOR2,Vista Hall,197,1607.78,41.65,25.75,136.05,4.59,-58.0,Cloudy,No_Event,High,Heavy,Poor
85,2025-05-21 20:46:00,MECH_BLOCK,FLOOR2,Lab,55,647.23,119.75,61.25,43.75,1.96,-56.0,Rainy,Thiran,Low,Light,Excellent
86,2025-05-30 05:19:00,MAIN_BLOCK,GROUND,Classroom,100,773.06,95.0,50.0,73.0,2.58,-76.0,Rainy,No_Event,Medium,Moderate,Good
87,2025-03-19 05:15:00,AI_BLOCK,GROUND,Robospace,60,656.31,117.0,60.0,47.0,2.77,-69.0,Cloudy,Thiran,Low,Light,Excellent
88,2025-02-05 22:25:00,AI_BLOCK,FLOOR3,Cyber Lab,65,857.66,114.25,58.75,50.25,3.06,-51.0,Sunny,FlashMob,Low,Light,Excellent
89,2025-03-08 03:37:00,MECH_BLOCK,FLOOR3,Lab,91,717.46,99.95,52.25,67.15,3.06,-59.0,Sunny,Culturals,Low,Light,Good
90,2025-09-28 13:13:00,MECH_BLOCK,FLOOR1,Classroom,115,754.52,95.55,46.25,82.75,3.1,-74.0,Rainy,Culturals,Medium,Moderate,Good
91,2025-11-08 17:14:00,MAIN_BLOCK,GROUND,Classroom,77,831.1,107.65,55.75,58.05,2.52,-56.0,Rainy,No_Event,Low,Light,Excellent
92,2025-06-04 02:17:00,AMENITY,GROUND,Food Court,241,2156.34,17.45,14.75,164.65,5.56,-64.0,Rainy,FlashMob,High,Heavy,Poor
93,2025-09-16 06:43:00,MECH_BLOCK,GROUND,Lab,49,642.02,123.05,62.75,39.85,2.48,-45.0,Sunny,No_Event,Low,Light,Excellent
94,2025-08-22 01:43:00,AI_BLOCK,FLOOR2,GenAI Lab,81,692.87,105.45,54.75,60.65,2.85,-55.0,Sunny,No_Event,Low,Light,Good
95,2025-07-04 16:36:00,MAIN_BLOCK,FLOOR2,Code Studio,143,1148.0,71.35,39.25,100.95,4.09,-77.0,Sunny,No_Event,Medium,Moderate,Poor
96,2025-05-11 00:10:00,MARIO,GROUND,Snack Corner,94,1276.6,98.3,51.5,69.1,2.48,-50.0,Cloudy,Culturals,Low,Light,Good
97,2025-07-30 19:31:00,AI_BLOCK,FLOOR2,Vista Hall,118,1575.73,85.1,45.5,84.7,3.38,-43.0,Rainy,No_Event,Medium,Moderate,Good
98,2025-12-31 16:14:00,MAIN_BLOCK,GROUND,Chemistry Lab,145,1964.35,70.25,38.75,102.25,3.81,-55.0,Rainy,Culturals,Medium,Moderate,Poor
99,2025-05-12 08:19:00,MAIN_BLOCK,FLOOR1,Auditorium,51,358.71,121.95,62.25,41.15,2.74,-43.0,Sunny,No_Event,Low,Light,Excellent
100,2025-09-13 03:56:00,MECH_BLOCK,GROUND,FABLAB,72,671.26,110.4,57.0,54.8,2.85,-76.0,Rainy,No_Event,Low,Light,Excellent
101,2025-10-07 22:01:00,AI_BLOCK,FLOOR2,Synapse Studio,224,1857.36,26.8,19.0,153.6,6.34,-64.0,Cloudy,Culturals,High,Heavy,Poor
102,2025-03-06 15:10:00,MAIN_BLOCK,FLOOR3,Cybernet Lab,133,925.72,76.85,41.75,94.45,4.86,-37.0,Cloudy,Freshwarite,Medium,Moderate,Good
103,2025-08-17 21:08:00,MECH_BLOCK,FLOOR1,Classroom,73,557.07,109.85,56.75,55.45,2.09,-41.0,Rainy,FlashMob,Low,Light,Excellent
104,2025-04-06 03:43:00,AI_BLOCK,FLOOR2,GenAI Lab,50,657.87,122.5,62.5,40.5,1.9,-51.0,Sunny,Culturals,Low,Light,Excellent
105,2025-12-29 16:04:00,AI_BLOCK,FLOOR1,Classroom,135,1639.82,75.75,41.25,95.75,4.1,-41.0,Rainy,No_Event,Medium,Moderate,Good
106,2025-01-28 13:51:00,MECH_BLOCK,FLOOR1,Classroom,106,1186.92,91.7,48.5,76.9,3.33,-79.0,Rainy,Thiran,Medium,Moderate,Good
107,2025-03-06 01:43:00,MECH_BLOCK,FLOOR1,Classroom,90,889.54,100.5,52.5,66.5,2.97,-73.0,Rainy,Freshwarite,Low,Light,Good
108,2025-07-05 19:12:00,MECH_BLOCK,FLOOR2,Library,66,864.43,113.7,58.5,50.9,2.12,-48.0,Cloudy,Freshwarite,Low,Light,Excellent
109,2025-05-29 13:42:00,AI_BLOCK,FLOOR3,Data Visualization Lab,144,1504.2,70.8,39.0,101.6,4.89,-43.0,Sunny,No_Event,Medium,Moderate,Poor
110,2025-04-18 11:42:00,MECH_BLOCK,GROUND,Lab,196,2062.04,42.2,26.0,135.4,5.5,-52.0,Rainy,No_Event,High,Heavy,Poor
111,2025-09-10 07:39:00,MAIN_BLOCK,FLOOR1,Auditorium,66,776.84,113.7,58.5,50.9,3.21,-45.0,Sunny,No_Event,Low,Light,Excellent
112,2025-09-26 15:38:00,AI_BLOCK,FLOOR3,Cyber Lab,99,1448.54,95.55,50.25,72.35,3.17,-75.0,Rainy,No_Event,Low,Light,Good
113,2025-02-08 09:58:00,MAIN_BLOCK,FLOOR2,Computer Lab,210,2380.7,34.5,22.5,144.5,4.9,-77.0,Rainy,Culturals,High,Heavy,Poor
114,2025-08-07 20:52:00,MAIN_BLOCK,FLOOR1,Classroom,70,802.23,111.5,57.5,53.5,2.75,-52.0,Rainy,No_Event,Low,Light,Excellent
115,2025-05-02 19:19:00,MECH_BLOCK,FLOOR1,Classroom,50,502.88,122.5,62.5,40.5,1.73,-60.0,Sunny,Thiran,Low,Light,Excellent
116,2025-04-03 03:57:00,AI_BLOCK,FLOOR3,Cyber Lab,96,862.97,97.2,51.0,70.4,3.04,-41.0,Cloudy,Freshwarite,Low,Light,Good
117,2025-08-18 10:28:00,MECH_BLOCK,FLOOR2,Library,150,1177.53,67.5,37.5,105.5,5.08,-55.0,Rainy,FlashMob,Medium,Moderate,Poor
118,2025-11-21 02:45:00,AI_BLOCK,FLOOR2,Classroom,73,1041.42,109.85,56.75,55.45,3.13,-37.0,Cloudy,Freshwarite,Low,Light,Excellent
119,2025-08-17 22:30:00,AI_BLOCK,FLOOR2,Vista Hall,72,666.83,110.4,57.0,54.8,3.1,-59.0,Cloudy,No_Event,Low,Light,Excellent
120,2025-04-13 07:13:00,AI_BLOCK,FLOOR3,Cyber Lab,110,1625.79,89.5,47.5,79.5,3.62,-61.0,Sunny,No_Event,Medium,Moderate,Good
121,2025-05-24 10:04:00,AI_BLOCK,FLOOR2,GenAI Lab,102,976.74,93.9,49.5,74.3,3.39,-62.0,Sunny,Freshwarite,Medium,Moderate,Good
122,2025-02-11 10:36:00,HOSTEL_GIRLS,GROUND,Hostel,58,382.3,118.1,60.5,45.7,3.21,-79.0,Sunny,Culturals,Low,Light,Excellent
123,2025-07-28 19:49:00,AMENITY,GROUND,Food Court,40,360.37,128.0,65.0,34.0,1.45,-78.0,Rainy,No_Event,Low,Light,Excellent
124,2025-09-11 16:41:00,HOSTEL_GIRLS,GROUND,Hostel,73,706.54,109.85,56.75,55.45,2.01,-58.0,Cloudy,No_Event,Low,Light,Excellent
125,2025-05-31 07:34:00,HOSTEL_GIRLS,GROUND,Hostel,104,1140.41,92.8,49.0,75.6,3.09,-58.0,Sunny,Culturals,Medium,Moderate,Good
126,2025-11-09 05:09:00,MAIN_BLOCK,FLOOR2,Computer Lab,106,1482.64,91.7,48.5,76.9,3.73,-73.0,Sunny,No_Event,Medium,Moderate,Good
127,2025-10-23 03:57:00,HOSTEL_GIRLS,GROUND,Hostel,76,552.5,108.2,56.0,57.4,2.83,-63.0,Cloudy,No_Event,Low,Light,Excellent
128,2025-06-26 21:26:00,MAIN_BLOCK,FLOOR2,IT Project Lab,58,412.09,118.1,60.5,45.7,3.41,-52.0,Sunny,Freshwarite,Low,Light,Excellent
129,2025-10-07 02:41:00,AI_BLOCK,GROUND,Robospace,59,532.34,117.55,60.25,46.35,3.33,-78.0,Sunny,No_Event,Low,Light,Excellent
130,2025-05-25 10:30:00,AI_BLOCK,FLOOR2,Synapse Studio,135,1339.89,75.75,41.25,95.75,3.79,-59.0,Sunny,No_Event,Medium,Moderate,Good
131,2025-06-28 06:33:00,AI_BLOCK,FLOOR2,Vista Hall,325,2482.66,8.0,5.0,219.25,7.97,-64.0,Cloudy,Culturals,High,Heavy,Poor
132,2025-12-11 03:13:00,MECH_BLOCK,FLOOR1,Classroom,112,812.47,88.4,47.0,80.8,4.41,-77.0,Sunny,FlashMob,Medium,Moderate,Good
133,2025-06-15 06:49:00,AI_BLOCK,FLOOR3,Cyber Lab,76,468.58,108.2,56.0,57.4,3.85,-60.0,Sunny,No_Event,Low,Light,Excellent
134,2025-06-08 16:24:00,MECH_BLOCK,FLOOR3,Lab,152,1276.57,66.4,37.0,106.8,5.0,-47.0,Cloudy,Freshwarite,Medium,Moderate,Poor
135,2025-05-04 13:00:00,MECH_BLOCK,GROUND,CAD Lab,149,2120.23,68.05,37.75,104.85,4.32,-53.0,Sunny,No_Event,Medium,Moderate,Poor
136,2025-03-12 09:31:00,MAIN_BLOCK,GROUND,Chemistry Lab,192,2194.25,44.4,27.0,132.8,4.83,-60.0,Cloudy,No_Event,High,Heavy,Poor
137,2025-12-23 11:19:00,MECH_BLOCK,GROUND,FABLAB,186,2137.82,47.7,28.5,128.9,6.12,-57.0,Rainy,No_Event,High,Heavy,Poor
138,2025-12-02 03:35:00,AI_BLOCK,FLOOR2,GenAI Lab,59,440.03,117.55,60.25,46.35,3.36,-64.0,Sunny,No_Event,Low,Light,Excellent
139,2025-12-13 14:57:00,MAIN_BLOCK,FLOOR3,Cybernet Lab,181,2272.22,50.45,29.75,125.65,5.11,-38.0,Sunny,FlashMob,High,Heavy,Poor
140,2025-07-11 07:34:00,AI_BLOCK,FLOOR2,Classroom,83,1220.87,104.35,54.25,61.95,2.17,-69.0,Rainy,No_Event,Low,Light,Good
141,2025-03-29 11:55:00,AI_BLOCK,GROUND,AI Lab,166,2415.65,58.7,33.5,115.9,4.71,-69.0,Rainy,No_Event,Medium,Moderate,Poor
142,2025-10-01 07:14:00,MECH_BLOCK,FLOOR2,Lab,119,1623.49,84.55,45.25,85.35,3.38,-56.0,Rainy,No_Event,Medium,Moderate,Good
143,2025-02-23 18:54:00,MECH_BLOCK,GROUND,CAD Lab,65,413.06,114.25,58.75,50.25,3.21,-74.0,Rainy,FlashMob,Low,Light,Excellent
144,2025-08-10 03:00:00,MECH_BLOCK,FLOOR3,Lab,53,375.49,120.85,61.75,42.45,3.02,-73.0,Cloudy,Freshwarite,Low,Light,Excellent
145,2025-10-05 17:53:00,AI_BLOCK,FLOOR2,Synapse Studio,78,787.51,107.1,55.5,58.7,3.1,-42.0,Rainy,No_Event,Low,Light,Excellent
146,2025-03-04 05:33:00,MECH_BLOCK,FLOOR3,Lab,99,1022.63,95.55,50.25,72.35,4.25,-38.0,Rainy,Culturals,Low,Light,Good
147,2025-11-09 13:02:00,AI_BLOCK,FLOOR3,Cyber Lab,106,1233.1,91.7,48.5,76.9,4.39,-39.0,Sunny,No_Event,Medium,Moderate,Good
148,2025-03-27 20:18:00,MAIN_BLOCK,GROUND,Chemistry Lab,69,414.15,112.05,57.75,52.85,2.25,-63.0,Cloudy,No_Event,Low,Light,Excellent
149,2025-10-21 15:25:00,HOSTEL_GIRLS,GROUND,Hostel,96,1077.77,97.2,51.0,70.4,2.96,-71.0,Sunny,No_Event,Low,Light,Good
150,2025-05-06 19:04:00,MARIO,GROUND,Snack Corner,44,553.98,125.8,64.0,36.6,1.39,-36.0,Rainy,Freshwarite,Low,Light,Excellent
151,2025-04-26 04:33:00,MECH_BLOCK,FLOOR1,Classroom,64,543.71,114.8,59.0,49.6,3.6,-66.0,Cloudy,No_Event,Low,Light,Excellent
152,2025-10-04 04:30:00,MAIN_BLOCK,FLOOR3,Cybernet Lab,107,852.18,91.15,48.25,77.55,4.54,-44.0,Sunny,FlashMob,Medium,Moderate,Good
153,2025-12-14 00:42:00,MAIN_BLOCK,FLOOR2,Code Studio,64,812.17,114.8,59.0,49.6,1.91,-73.0,Cloudy,No_Event,Low,Light,Excellent
154,2025-10-27 14:13:00,AI_BLOCK,FLOOR1,ML Lab,185,1403.92,48.25,28.75,128.25,4.64,-78.0,Sunny,No_Event,High,Heavy,Poor
155,2025-11-20 14:06:00,MAIN_BLOCK,FLOOR2,Code Studio,112,1274.05,88.4,47.0,80.8,3.79,-39.0,Rainy,No_Event,Medium,Moderate,Good
156,2025-09-18 09:59:00,AI_BLOCK,GROUND,Robospace,169,1896.31,57.05,32.75,117.85,4.06,-40.0,Rainy,No_Event,Medium,Moderate,Poor
157,2025-01-31 07:22:00,MAIN_BLOCK,GROUND,Classroom,106,1547.69,91.7,48.5,76.9,4.34,-72.0,Sunny,FlashMob,Medium,Moderate,Good
158,2025-08-16 00:36:00,MECH_BLOCK,FLOOR2,Library,118,713.4,85.1,45.5,84.7,4.25,-55.0,Rainy,No_Event,Medium,Moderate,Good
159,2025-10-07 22:39:00,AI_BLOCK,GROUND,Robospace,116,1584.66,86.2,46.0,83.4,3.81,-49.0,Sunny,No_Event,Medium,Moderate,Good
